filename|text
S04E17_BMO_Vocals_SPEAKER_01_490.67.wav|Have you seen any down here?
S07E05_BMO_Vocals_SPEAKER_03_88.96.wav|Because I love you.
S09E11_BMO_Vocals_SPEAKER_02_207.55.wav|Then we floated with the boat.
S10E02_BMO_Vocals_SPEAKER_02_97.00.wav|The Cosmite is always right!
S07E14_BMO_Vocals_SPEAKER_05_919.92.wav|He got a new body.
S10E09_BMO_Vocals_SPEAKER_09_72.37.wav|My Jake Valentines.
S07E14_BMO_Vocals_SPEAKER_05_297.77.wav|And I could buy my own pacifiers at the store if I was grown.
S07E14_BMO_Vocals_SPEAKER_05_127.19.wav|Oh, you are not Mole.
S09E01_BMO_Vocals_SPEAKER_01_623.10.wav|You have to negotiate first.
S05E03_BMO_Vocals_SPEAKER_10_466.12.wav|I'm a real baby girl now.
S11E01_BMO_Vocals_SPEAKER_17_47.58.wav|His name is Lars Darksaber.
S04E12_BMO_Vocals_SPEAKER_03_38.11.wav|Jake, if I beat you, you have to call me sensei for a month.
S04E17_BMO_Vocals_SPEAKER_03_342.86.wav|Dont play dumb with me.
S11E01_BMO_Vocals_SPEAKER_04_980.45.wav|They look so cold and scared.
S08E03_BMO_Vocals_SPEAKER_01_574.97.wav|And look, look around.
S11E01_BMO_Vocals_SPEAKER_17_775.49.wav|Okay, I know what yall thinking.
S02E23_BMO_Vocals_SPEAKER_01_625.75.wav|Guys, you know you're much more than this.
S10E13_BMO_Vocals_SPEAKER_20_1289.52.wav|And so, in the end, they decided not to have the big fight.
S04E17_BMO_Vocals_SPEAKER_03_130.12.wav|How is Lorraine?
S10E02_BMO_Vocals_SPEAKER_02_192.46.wav|Can you believe this weather?
S06E17_BMO_Vocals_SPEAKER_04_668.62.wav|Beemo is so good.
S07E17_BMO_Vocals_SPEAKER_04_113.28.wav|It took me over six hours to prepare this lunch, Jake.
S07E17_BMO_Vocals_SPEAKER_04_129.39.wav|One sandwich per horse hour.
S03E25_BMO_Vocals_SPEAKER_00_47.70.wav|Your head on my body isnt boring?
S07E05_BMO_Vocals_SPEAKER_05_109.92.wav|See you back here tomorrow, Football!
S10E03_BMO_Vocals_SPEAKER_00_380.53.wav|Maybe there is an interesting thing about you that you just dont realize.
S05E33_BMO_Vocals_SPEAKER_00_311.52.wav|But we have to hurry.
S07E17_BMO_Vocals_SPEAKER_03_421.06.wav|Dont talk to my horse, Tumbleweed.
S01E23_BMO_Vocals_SPEAKER_04_81.42.wav|Who wants to play video games?
S02E16_BMO_Vocals_SPEAKER_01_130.08.wav|No, it's a far too dangerous, incredible adventure for you.
S09E01_BMO_Vocals_SPEAKER_06_475.21.wav|Now its too relatable.
S02E07_BMO_Vocals_SPEAKER_00_187.96.wav|Does he have a pumpkin?
S04E02_BMO_Vocals_SPEAKER_01_105.11.wav|Oh, that sounds wonderful, Bimo.
S05E25_BMO_Vocals_SPEAKER_00_541.03.wav|I finished processing the blood sample, and I have the result.
S11E01_BMO_Vocals_SPEAKER_17_636.05.wav|Dont give me that puppy eye.
S11E01_BMO_Vocals_SPEAKER_17_2468.62.wav|We were so close.
S07E14_BMO_Vocals_SPEAKER_05_1252.16.wav|So who knows if I will ever grow up at all.
S07E05_BMO_Vocals_SPEAKER_03_340.69.wav|Remember, if you guys miss BMO, I miss him more.
S09E11_BMO_Vocals_SPEAKER_02_528.99.wav|I was being emotionally truthful.
S05E28_BMO_Vocals_SPEAKER_12_106.71.wav|Please take me to get fixed.
S05E17_BMO_Vocals_SPEAKER_03_317.83.wav|I think my batteries are wet.
S04E17_BMO_Vocals_SPEAKER_03_81.15.wav|So I decided to take the case.
S07E14_BMO_Vocals_SPEAKER_05_324.32.wav|Maybe I could just stay the same forever.
S07E14_BMO_Vocals_SPEAKER_05_103.36.wav|And you are the smartest guy I know.
S11E01_BMO_Vocals_SPEAKER_04_239.50.wav|Okay, I changed my mind.
S11E01_BMO_Vocals_SPEAKER_14_2485.36.wav|Yes, brute force!
S02E07_BMO_Vocals_SPEAKER_07_193.26.wav|Poopy-toopy-pie-tin?
S06E34_BMO_Vocals_SPEAKER_09_352.03.wav|I am on to something important.
S07E17_BMO_Vocals_SPEAKER_04_243.55.wav|Jack Rabbit Johnson.
S07E05_BMO_Vocals_SPEAKER_03_62.95.wav|Can I tell you a secret?
S09E02_BMO_Vocals_SPEAKER_04_184.67.wav|But we haven't gone through any portals.
S10E13_BMO_Vocals_SPEAKER_03_275.15.wav|Yeah, it belonged to my best friend, Fred.
S10E02_BMO_Vocals_SPEAKER_02_233.38.wav|Thats like a cage-free ball of lint.
S10E02_BMO_Vocals_SPEAKER_02_142.62.wav|Bodies dont talk, Ice King.
S09E11_BMO_Vocals_SPEAKER_02_59.39.wav|I am the guy who hunts those guys.
S11E01_BMO_Vocals_SPEAKER_04_920.01.wav|I will play with you, strange things.
S07E05_BMO_Vocals_SPEAKER_05_183.37.wav|But Finn is right over there.
S05E16_BMO_Vocals_SPEAKER_02_568.09.wav|Why dont you do this with your other babies?
S10E02_BMO_Vocals_SPEAKER_05_614.31.wav|A little tap is all it takes.
S08E05_BMO_Vocals_SPEAKER_02_646.53.wav|You mean some people are just a pure city sidewalk boom-boom from a rat dunk and that's all there is to it?
S11E01_BMO_Vocals_SPEAKER_17_1519.06.wav|You are not a very good scientist.
S05E28_BMO_Vocals_SPEAKER_11_190.14.wav|This is gonna be a snap.
S11E01_BMO_Vocals_SPEAKER_04_733.31.wav|Crab-eye, you need to throw your shields all at once.
S07E05_BMO_Vocals_SPEAKER_03_264.17.wav|Im not going back, Beemo.
S11E01_BMO_Vocals_SPEAKER_17_2624.01.wav|and I grabbed as many snacks as I wanted.
S11E01_BMO_Vocals_SPEAKER_17_397.77.wav|Its just garbage trash.
S10E13_BMO_Vocals_SPEAKER_11_2106.90.wav|My art is a weapon!
S05E10_BMO_Vocals_SPEAKER_02_397.28.wav|Your stanky friend jumped out the window and ran toward the Candy Kingdom.
S11E01_BMO_Vocals_SPEAKER_17_1360.99.wav|Oh, I thought it was a popcorn maker.
S11E01_BMO_Vocals_SPEAKER_17_676.74.wav|Lead the way, lady.
S05E28_BMO_Vocals_SPEAKER_11_503.17.wav|I am not non-mo.
S06E34_BMO_Vocals_SPEAKER_09_196.40.wav|No flipping way.
S10E13_BMO_Vocals_SPEAKER_03_1975.52.wav|Whats all the ruckus out there?
S07E14_BMO_Vocals_SPEAKER_05_1288.31.wav|And if I cannot trust in Mo, I cant trust in me!
S10E13_BMO_Vocals_SPEAKER_20_2021.05.wav|How about today, you let me be the papa?
S04E17_BMO_Vocals_SPEAKER_03_225.36.wav|Where is the sock, Lorraine?
S04E17_BMO_Vocals_SPEAKER_03_232.52.wav|So dont act so cute.
S04E17_BMO_Vocals_SPEAKER_03_648.14.wav|Ronnie the mouse stole it, but Lorraine Chicken set him up to kill Bebe.
S06E17_BMO_Vocals_SPEAKER_01_448.64.wav|Theoretically, that is possible.
S08E27_BMO_Vocals_SPEAKER_04_596.68.wav|When do I fire the torpedoes?
S07E17_BMO_Vocals_SPEAKER_04_443.20.wav|Tell him his old paw angel face is itching to get together.
S10E13_BMO_Vocals_SPEAKER_20_2048.70.wav|Happening happened.
S05E28_BMO_Vocals_SPEAKER_12_160.19.wav|It says here, only moles are allowed in the factory.
S09E11_BMO_Vocals_SPEAKER_02_179.29.wav|A big blue jay was making noise nearby.
S07E05_BMO_Vocals_SPEAKER_03_66.36.wav|You can tell me anything.
S07E05_BMO_Vocals_SPEAKER_05_554.82.wav|Im going where you will never find me.
S09E01_BMO_Vocals_SPEAKER_01_355.29.wav|Listen, the play started out good, but it didn't have any relatable characters.
S04E17_BMO_Vocals_SPEAKER_03_148.79.wav|What if I put some knuckle in your eyeballs?
S04E17_BMO_Vocals_SPEAKER_05_320.43.wav|Bebe owned Bebes, a dance club downtown.
S06E34_BMO_Vocals_SPEAKER_06_134.82.wav|Oh, and when Chips trips over the turtle, it was so funny, but also sad.
S05E28_BMO_Vocals_SPEAKER_12_92.71.wav|I didn't do nothing!
